"id","commonName","metadataImage","found","foundPath","candidatesTried"
"tomato","Tomate",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Tomate.png","tomato.jpg; tomato.png; tomato.webp; tomato.jpeg; tomate.jpg; tomate.png; tomate.webp; tomate.jpeg"
"lettuce","Laitue",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Laitue.png","lettuce.jpg; lettuce.png; lettuce.webp; lettuce.jpeg; laitue.jpg; laitue.png; laitue.webp; laitue.jpeg"
"mesclun","Mesclun",,"False",,"mesclun.jpg; mesclun.png; mesclun.webp; mesclun.jpeg; mesclun.jpg; mesclun.png; mesclun.webp; mesclun.jpeg"
"scarole","Scarole",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Scarole.png","scarole.jpg; scarole.png; scarole.webp; scarole.jpeg; scarole.jpg; scarole.png; scarole.webp; scarole.jpeg"
"roquette","Roquette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Roquette.png","roquette.jpg; roquette.png; roquette.webp; roquette.jpeg; roquette.jpg; roquette.png; roquette.webp; roquette.jpeg"
"mache","MÃ¢che",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Mache.png","mache.jpg; mache.png; mache.webp; mache.jpeg; m__che.jpg; m__che.png; m__che.webp; m__che.jpeg"
"spinach","Ã‰pinard",,"False",,"spinach.jpg; spinach.png; spinach.webp; spinach.jpeg; __pinard.jpg; __pinard.png; __pinard.webp; __pinard.jpeg"
"chard","Blette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\blette.png","chard.jpg; chard.png; chard.webp; chard.jpeg; blette.jpg; blette.png; blette.webp; blette.jpeg"
"celery_branch","CÃ©leri branche",,"False",,"celery_branch.jpg; celery_branch.png; celery_branch.webp; celery_branch.jpeg; c__leri_branche.jpg; c__leri_branche.png; c__leri_branche.webp; c__leri_branche.jpeg"
"garlic","Ail",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ail.png","garlic.jpg; garlic.png; garlic.webp; garlic.jpeg; ail.jpg; ail.png; ail.webp; ail.jpeg"
"onion","Oignon",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Oignon.png","onion.jpg; onion.png; onion.webp; onion.jpeg; oignon.jpg; oignon.png; oignon.webp; oignon.jpeg"
"shallot","Ã‰chalote",,"False",,"shallot.jpg; shallot.png; shallot.webp; shallot.jpeg; __chalote.jpg; __chalote.png; __chalote.webp; __chalote.jpeg"
"leek","Poireau",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Poireau.png","leek.jpg; leek.png; leek.webp; leek.jpeg; poireau.jpg; poireau.png; poireau.webp; poireau.jpeg"
"carrot","Carotte",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Carotte.png","carrot.jpg; carrot.png; carrot.webp; carrot.jpeg; carotte.jpg; carotte.png; carotte.webp; carotte.jpeg"
"black_radish","Radis Noir",,"False",,"black_radish.jpg; black_radish.png; black_radish.webp; black_radish.jpeg; radis_noir.jpg; radis_noir.png; radis_noir.webp; radis_noir.jpeg"
"navet","Navet",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Navet.png","navet.jpg; navet.png; navet.webp; navet.jpeg; navet.jpg; navet.png; navet.webp; navet.jpeg"
"beetroot","Betterave",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Betterave.png","beetroot.jpg; beetroot.png; beetroot.webp; beetroot.jpeg; betterave.jpg; betterave.png; betterave.webp; betterave.jpeg"
"potato","Pomme de terre",,"False",,"potato.jpg; potato.png; potato.webp; potato.jpeg; pomme_de_terre.jpg; pomme_de_terre.png; pomme_de_terre.webp; pomme_de_terre.jpeg"
"topinambour","Topinambour",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Topinambour.png","topinambour.jpg; topinambour.png; topinambour.webp; topinambour.jpeg; topinambour.jpg; topinambour.png; topinambour.webp; topinambour.jpeg"
"parsnip","Panais",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Panais.png","parsnip.jpg; parsnip.png; parsnip.webp; parsnip.jpeg; panais.jpg; panais.png; panais.webp; panais.jpeg"
"salsify","Salsifis",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Salsifis.png","salsify.jpg; salsify.png; salsify.webp; salsify.jpeg; salsifis.jpg; salsifis.png; salsifis.webp; salsifis.jpeg"
"eggplant","Aubergine",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aubergine.png","eggplant.jpg; eggplant.png; eggplant.webp; eggplant.jpeg; aubergine.jpg; aubergine.png; aubergine.webp; aubergine.jpeg"
"pepper","Poivron / Piment",,"False",,"pepper.jpg; pepper.png; pepper.webp; pepper.jpeg; poivron___piment.jpg; poivron___piment.png; poivron___piment.webp; poivron___piment.jpeg"
"cucumber","Concombre",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Concombre.png","cucumber.jpg; cucumber.png; cucumber.webp; cucumber.jpeg; concombre.jpg; concombre.png; concombre.webp; concombre.jpeg"
"courgette","Courgette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Courgette.png","courgette.jpg; courgette.png; courgette.webp; courgette.jpeg; courgette.jpg; courgette.png; courgette.webp; courgette.jpeg"
"melon","Melon",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Melon.png","melon.jpg; melon.png; melon.webp; melon.jpeg; melon.jpg; melon.png; melon.webp; melon.jpeg"
