"id","commonName","metadataImage","exactFound","foundPath","fuzzyMatches","candidatesTried"
"tomato","Tomate",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Tomate.png","","tomato.jpg; tomato.png; tomato.webp; tomato.jpeg; tomate.jpg; tomate.png; tomate.webp; tomate.jpeg"
"lettuce","Laitue",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Laitue.png","","lettuce.jpg; lettuce.png; lettuce.webp; lettuce.jpeg; laitue.jpg; laitue.png; laitue.webp; laitue.jpeg"
"mesclun","Mesclun",,"False",,"","mesclun.jpg; mesclun.png; mesclun.webp; mesclun.jpeg; mesclun.jpg; mesclun.png; mesclun.webp; mesclun.jpeg"
"scarole","Scarole",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Scarole.png","","scarole.jpg; scarole.png; scarole.webp; scarole.jpeg; scarole.jpg; scarole.png; scarole.webp; scarole.jpeg"
"roquette","Roquette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Roquette.png","","roquette.jpg; roquette.png; roquette.webp; roquette.jpeg; roquette.jpg; roquette.png; roquette.webp; roquette.jpeg"
"mache","MÃ¢che",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Mache.png","","mache.jpg; mache.png; mache.webp; mache.jpeg; ma_che.jpg; ma_che.png; ma_che.webp; ma_che.jpeg"
"spinach","Ã‰pinard",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ail.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ail.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aneth.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Artichaut.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Asperge.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Aubergine.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Basilic.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Betterave.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Carotte.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Céleri branche.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Chou kale.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Coriandre.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Échalote.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Epinard.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Haricot.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Laitue.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Mache.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Maïs doux.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Navet.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Panais.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Poireau.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Radis noir.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Romarin.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Salsifis.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Scarole.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Tomate.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Topinambour.png","spinach.jpg; spinach.png; spinach.webp; spinach.jpeg; a_pinard.jpg; a_pinard.png; a_pinard.webp; a_pinard.jpeg"
"chard","Blette",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\blette.png","","chard.jpg; chard.png; chard.webp; chard.jpeg; blette.jpg; blette.png; blette.webp; blette.jpeg"
"celery_branch","CÃ©leri branche",,"False","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Carotte.png","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Carotte.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Céleri branche.png; C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Scarole.png","celery_branch.jpg; celery_branch.png; celery_branch.webp; celery_branch.jpeg; ca_leri_branche.jpg; ca_leri_branche.png; ca_leri_branche.webp; ca_leri_branche.jpeg"
"garlic","Ail",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Ail.png","","garlic.jpg; garlic.png; garlic.webp; garlic.jpeg; ail.jpg; ail.png; ail.webp; ail.jpeg"
"onion","Oignon",,"True","C:\Users\roman\Documents\apppklod\permacalendarv2\assets\images\legumes\Oignon.png","","onion.jpg; onion.png; onion.webp; onion.jpeg; oignon.jpg; oignon.png; oignon.webp; oignon.jpeg"
