type,name,file,line,citation,source,priority,note
file,lib/core/models/garden_bed_v2.dart,lib/core/models/garden_bed_v2.dart,,12†lib/core/models/garden_bed_v2.dart,unreferenced_files,high,
file,lib/core/models/garden_v2.dart,lib/core/models/garden_v2.dart,,12†lib/core/models/garden_v2.dart,unreferenced_files,high,
file,lib/core/models/planting_v2.dart,lib/core/models/planting_v2.dart,,12†lib/core/models/planting_v2.dart,unreferenced_files,high,
file,lib/core/models/plant_v2.dart,lib/core/models/plant_v2.dart,,12†lib/core/models/plant_v2.dart,unreferenced_files,high,
file,lib/core/providers/commune_search_provider.dart,lib/core/providers/commune_search_provider.dart,,12†lib/core/providers/commune_search_provider.dart,unreferenced_files,medium,
file,lib/core/repositories/index.dart,lib/core/repositories/index.dart,,12†lib/core/repositories/index.dart,unreferenced_files,high,
file,lib/core/services/garden_event_system_validator.dart,lib/core/services/garden_event_system_validator.dart,,12†lib/core/services/garden_event_system_validator.dart,unreferenced_files,high,
file,lib/core/services/intelligence/intelligent_recommendation_engine.dart,lib/core/services/intelligence/intelligent_recommendation_engine.dart,,12†lib/core/services/intelligence/intelligent_recommendation_engine.dart,unreferenced_files,high,
file,lib/core/services/intelligence/real_time_data_processor.dart,lib/core/services/intelligence/real_time_data_processor.dart,,12†lib/core/services/intelligence/real_time_data_processor.dart,unreferenced_files,high,
file,lib/core/services/migration/migration_orchestrator.dart,lib/core/services/migration/migration_orchestrator.dart,,12†lib/core/services/migration/migration_orchestrator.dart,unreferenced_files,high,
file,lib/core/services/monitoring/alerting_service.dart,lib/core/services/monitoring/alerting_service.dart,,12†lib/core/services/monitoring/alerting_service.dart,unreferenced_files,high,
file,lib/core/services/monitoring/health_check_service.dart,lib/core/services/monitoring/health_check_service.dart,,12†lib/core/services/monitoring/health_check_service.dart,unreferenced_files,high,
file,lib/core/services/monitoring/metrics_collector_service.dart,lib/core/services/monitoring/metrics_collector_service.dart,,12†lib/core/services/monitoring/metrics_collector_service.dart,unreferenced_files,high,
file,lib/core/services/monitoring/performance_monitoring_service.dart,lib/core/services/monitoring/performance_monitoring_service.dart,,12†lib/core/services/monitoring/performance_monitoring_service.dart,unreferenced_files,high,
file,lib/core/services/network_service.dart,lib/core/services/network_service.dart,,12†lib/core/services/network_service.dart,unreferenced_files,high,
file,lib/core/services/performance/data_compression_service.dart,lib/core/services/performance/data_compression_service.dart,,12†lib/core/services/performance/data_compression_service.dart,unreferenced_files,high,
file,lib/core/services/performance/intelligent_cache_service.dart,lib/core/services/performance/intelligent_cache_service.dart,,12†lib/core/services/performance/intelligent_cache_service.dart,unreferenced_files,high,
file,lib/core/services/performance/query_optimization_engine.dart,lib/core/services/performance/query_optimization_engine.dart,,12†lib/core/services/performance/query_optimization_engine.dart,unreferenced_files,high,
file,lib/core/services/plant_condition_analyzer.dart,lib/core/services/plant_condition_analyzer.dart,,12†lib/core/services/plant_condition_analyzer.dart,unreferenced_files,high,
file,lib/core/utils/calibration_migration.dart,lib/core/utils/calibration_migration.dart,,12†lib/core/utils/calibration_migration.dart,unreferenced_files,high,
file,lib/core/utils/position_persistence_ext.dart,lib/core/utils/position_persistence_ext.dart,,12†lib/core/utils/position_persistence_ext.dart,unreferenced_files,medium,
file,lib/core/widgets/thermal_overlay_widget.dart,lib/core/widgets/thermal_overlay_widget.dart,,12†lib/core/widgets/thermal_overlay_widget.dart,unreferenced_files,medium,
file,lib/features/climate/data/initialization/soil_metrics_initialization.dart,lib/features/climate/data/initialization/soil_metrics_initialization.dart,,12†lib/features/climate/data/initialization/soil_metrics_initialization.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/experimental/cellular_rosace_v3/cellular_rosace_demo.dart,lib/features/climate/presentation/experimental/cellular_rosace_v3/cellular_rosace_demo.dart,,12†lib/features/climate/presentation/experimental/cellular_rosace_v3/cellular_rosace_demo.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/climate/presentation/experimental/cellular_rosace_v3/cellular_rosace_integration_example.dart,lib/features/climate/presentation/experimental/cellular_rosace_v3/cellular_rosace_integration_example.dart,,12†lib/features/climate/presentation/experimental/cellular_rosace_v3/cellular_rosace_integration_example.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/climate/presentation/experimental/experimental_climate_cells_v1.dart,lib/features/climate/presentation/experimental/experimental_climate_cells_v1.dart,,12†lib/features/climate/presentation/experimental/experimental_climate_cells_v1.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/climate/presentation/experimental/experimental_climate_cells_v2.dart,lib/features/climate/presentation/experimental/experimental_climate_cells_v2.dart,,12†lib/features/climate/presentation/experimental/experimental_climate_cells_v2.dart,unreferenced_files,medium,likely placeholder/demo
file,lib/features/climate/presentation/screens/alerts_detail_screen.dart,lib/features/climate/presentation/screens/alerts_detail_screen.dart,,12†lib/features/climate/presentation/screens/alerts_detail_screen.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/screens/ph_management_screen.dart,lib/features/climate/presentation/screens/ph_management_screen.dart,,12†lib/features/climate/presentation/screens/ph_management_screen.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/screens/soil_temperature_screen.dart,lib/features/climate/presentation/screens/soil_temperature_screen.dart,,12†lib/features/climate/presentation/screens/soil_temperature_screen.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/screens/weather_detail_screen.dart,lib/features/climate/presentation/screens/weather_detail_screen.dart,,12†lib/features/climate/presentation/screens/weather_detail_screen.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/utils/day_phase_blend.dart,lib/features/climate/presentation/utils/day_phase_blend.dart,,12†lib/features/climate/presentation/utils/day_phase_blend.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/widgets/climate_mini_card.dart,lib/features/climate/presentation/widgets/climate_mini_card.dart,,12†lib/features/climate/presentation/widgets/climate_mini_card.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/widgets/garden_climate_panel.dart,lib/features/climate/presentation/widgets/garden_climate_panel.dart,,12†lib/features/climate/presentation/widgets/garden_climate_panel.dart,unreferenced_files,medium,
file,lib/features/climate/presentation/widgets/rosace/climate_rosace_integration_example.dart,lib/features/climate/presentation/widgets/rosace/climate_rosace_integration_example.dart,,12†lib/features/climate/presentation/widgets/rosace/climate_rosace_integration_example.dart,unreferenced_files,medium,
file,lib/features/home/widgets/invisible_garden_zone.dart,lib/features/home/widgets/invisible_garden_zone.dart,,12†lib/features/home/widgets/invisible_garden_zone.dart,unreferenced_files,medium,
file,lib/features/planting/providers/germination_provider.dart,lib/features/planting/providers/germination_provider.dart,,12†lib/features/planting/providers/germination_provider.dart,unreferenced_files,medium,
