type,name,file,line,citation,source,priority,classification,evidence,notes,suggested_action
file,lib/core/models/garden_bed_v2.dart,lib/core/models/garden_bed_v2.dart,,12†lib/core/models/garden_bed_v2.dart,unreferenced_files,high,likely_used,"[{""kind"": ""occurrence"", ""file"": ""lib/core/models/garden_bed_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'garden_bed_v2.dart';""}, {""kind"": ""generated_reference"", ""file"": ""lib/core/models/garden_bed_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'garden_bed_v2.dart';""}]",referenced_in_generated,manual_review
file,lib/core/models/garden_v2.dart,lib/core/models/garden_v2.dart,,12†lib/core/models/garden_v2.dart,unreferenced_files,high,likely_used,"[{""kind"": ""occurrence"", ""file"": ""lib/core/adapters/garden_migration_adapters.dart"", ""line"": ""2"", ""snippet"": ""import '../models/garden_v2.dart' as v2;""}, {""kind"": ""occurrence"", ""file"": ""lib/core/data/migration/garden_data_migration.dart"", ""line"": ""5"", ""snippet"": ""import '../../models/garden_v2.dart' as v2;""}, {""kind"": ""occurrence"", ""file"": ""lib/core/models/garden_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'garden_v2.dart';""}, {""kind"": ""generated_reference"", ""file"": ""lib/core/models/garden_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'garden_v2.dart';""}]",referenced_in_generated,manual_review
file,lib/core/models/planting_v2.dart,lib/core/models/planting_v2.dart,,12†lib/core/models/planting_v2.dart,unreferenced_files,high,likely_used,"[{""kind"": ""occurrence"", ""file"": ""lib/core/models/planting_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'planting_v2.dart';""}, {""kind"": ""generated_reference"", ""file"": ""lib/core/models/planting_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'planting_v2.dart';""}]",referenced_in_generated,manual_review
file,lib/core/models/plant_v2.dart,lib/core/models/plant_v2.dart,,12†lib/core/models/plant_v2.dart,unreferenced_files,high,likely_used,"[{""kind"": ""occurrence"", ""file"": ""lib/core/models/plant_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'plant_v2.dart';""}, {""kind"": ""generated_reference"", ""file"": ""lib/core/models/plant_v2.g.dart"", ""line"": ""3"", ""snippet"": ""part of 'plant_v2.dart';""}]",referenced_in_generated,manual_review
file,lib/core/repositories/index.dart,lib/core/repositories/index.dart,,12†lib/core/repositories/index.dart,unreferenced_files,high,likely_used,"[{""kind"": ""occurrence"", ""file"": ""lib/core/services/intelligence/intelligent_recommendation_engine.dart"", ""line"": ""174"", ""snippet"": ""return b.urgency.index.compareTo(a.urgency.index);""}, {""kind"": ""occurrence"", ""file"": ""lib/core/services/intelligence/real_time_data_processor.dart"", ""line"": ""225"", ""snippet"": ""return b.priority.index.compareTo(a.priority.index);""}, {""kind"": ""occurrence"", ""file"": ""lib/core/services/monitoring/alerting_service.dart"", ""line"": ""351"", ""snippet"": ""return b.severity.index.compareTo(a.severity.index);""}]",,manual_review
file,lib/core/services/garden_event_system_validator.dart,lib/core/services/garden_event_system_validator.dart,,12†lib/core/services/garden_event_system_validator.dart,unreferenced_files,high,likely_orphan,[],,archive
file,lib/core/services/intelligence/intelligent_recommendation_engine.dart,lib/core/services/intelligence/intelligent_recommendation_engine.dart,,12†lib/core/services/intelligence/intelligent_recommendation_engine.dart,unreferenced_files,high,likely_orphan,[],,archive
file,lib/core/services/intelligence/real_time_data_processor.dart,lib/core/services/intelligence/real_time_data_processor.dart,,12†lib/core/services/intelligence/real_time_data_processor.dart,unreferenced_files,high,likely_orphan,[],,archive
file,lib/core/services/migration/migration_orchestrator.dart,lib/core/services/migration/migration_orchestrator.dart,,12†lib/core/services/migration/migration_orchestrator.dart,unreferenced_files,high,likely_orphan,[],,archive
file,lib/core/services/monitoring/alerting_service.dart,lib/core/services/monitoring/alerting_service.dart,,12†lib/core/services/monitoring/alerting_service.dart,unreferenced_files,high,likely_orphan,[],,archive
