PlantID,Field,ValueSnippet,Action
artichoke,commonName,Artichaut,Extracted
artichoke,description,...,Extracted
asparagus,commonName,Asperge,Extracted
asparagus,description,...,Extracted
basil,commonName,Basilic,Extracted
basil,description,...,Extracted
bean,commonName,Haricot,Extracted
bean,description,...,Extracted
beetroot,commonName,Betterave,Extracted
beetroot,description,...,Extracted
black_radish,commonName,Radis Noir,Extracted
black_radish,description,...,Extracted
broccoli,commonName,Brocoli,Extracted
broccoli,description,...,Extracted
brussels_sprout,commonName,Chou de Bruxelles,Extracted
brussels_sprout,description,...,Extracted
cabbage,commonName,Chou pommé,Extracted
cabbage,description,...,Extracted
carrot,commonName,Carotte,Extracted
carrot,description,...,Extracted
cauliflower,commonName,chou-fleur,Extracted
cauliflower,description,...,Extracted
celery_branch,commonName,Céleri branche,Extracted
celery_branch,description,...,Extracted
chard,commonName,Blette,Extracted
chard,description,...,Extracted
chives,commonName,Ciboulette,Extracted
chives,description,...,Extracted
coriander,commonName,Coriandre,Extracted
coriander,description,...,Extracted
courgette,commonName,Courgette,Extracted
courgette,description,...,Extracted
cucumber,commonName,Concombre,Extracted
cucumber,description,...,Extracted
dill,commonName,Aneth,Extracted
dill,description,...,Extracted
eggplant,commonName,Aubergine,Extracted
eggplant,description,...,Extracted
garlic,commonName,Ail,Extracted
garlic,description,...,Extracted
kale,commonName,Chou kale,Extracted
kale,description,...,Extracted
leek,commonName,Poireau,Extracted
leek,description,...,Extracted
lettuce,commonName,Laitue,Extracted
lettuce,description,...,Extracted
mache,commonName,Mâche,Extracted
mache,description,...,Extracted
melon,commonName,Melon,Extracted
melon,description,...,Extracted
navet,commonName,Navet,Extracted
navet,description,...,Extracted
onion,commonName,Oignon,Extracted
onion,description,...,Extracted
parsley,commonName,Persil,Extracted
parsley,description,...,Extracted
parsnip,commonName,Panais,Extracted
parsnip,description,...,Extracted
potato,commonName,Pomme de terre,Extracted
potato,description,...,Extracted
courge_potiron,commonName,Courge Potiron ,Extracted
courge_potiron,description,...,Extracted
roquette,commonName,Roquette,Extracted
roquette,description,...,Extracted
rosemary,commonName,Romarin,Extracted
rosemary,description,...,Extracted
salsify,commonName,Salsifis,Extracted
salsify,description,...,Extracted
scarole,commonName,Scarole,Extracted
scarole,description,...,Extracted
shallot,commonName,Échalote,Extracted
shallot,description,...,Extracted
spinach,commonName,Épinard,Extracted
spinach,description,...,Extracted
sweet_corn,commonName,Maïs doux,Extracted
sweet_corn,description,...,Extracted
thyme,commonName,Thym,Extracted
thyme,description,...,Extracted
tomato,commonName,Tomate,Extracted
tomato,description,...,Extracted
topinambour,commonName,Topinambour,Extracted
topinambour,description,...,Extracted
carotte_blanche,commonName,Carotte blanche,Extracted
carotte_blanche,description,...,Extracted
poivron_capsicum_annuum,commonName,Poivron,Extracted
poivron_capsicum_annuum,description,...,Extracted
bok_choy,commonName,Bok choy,Extracted
bok_choy,description,...,Extracted
chayotte,commonName,Chayotte,Extracted
chayotte,description,...,Extracted
chou_brocoli_romanesco,commonName,Chou brocoli romanesco,Extracted
chou_brocoli_romanesco,description,...,Extracted
chou_cabus_rouge,commonName,Chou cabus rouge,Extracted
chou_cabus_rouge,description,...,Extracted
chou-daubenton,commonName,Chou Daubenton,Extracted
chou-daubenton,description,...,Extracted
mizuna,commonName,Chou Mizuna,Extracted
mizuna,description,...,Extracted
butternut_squash,commonName,Courge Butternut,Extracted
butternut_squash,description,...,Extracted
musquee_de_provence,commonName,Courge musquée muscade,Extracted
musquee_de_provence,description,...,Extracted
patidou,commonName,Courge patidou,Extracted
patidou,description,...,Extracted
cresson,commonName,Cresson de fontaine,Extracted
cresson,description,...,Extracted
endive,commonName,Endive,Extracted
endive,description,...,Extracted
broad_bean,commonName,Fève,Extracted
broad_bean,description,...,Extracted
gobo,commonName,Gobo (Grande Bardane),Extracted
gobo,description,...,Extracted
haricot_rames,commonName,Haricot à rames,Extracted
haricot_rames,description,...,Extracted
haricot_coco,commonName,Haricot coco,Extracted
haricot_coco,description,...,Extracted
yellow_bean,commonName,Haricot jaune,Extracted
yellow_bean,description,...,Extracted
lentil,commonName,Lentille,Extracted
lentil,description,...,Extracted
lupin,commonName,Lupin,Extracted
lupin,description,...,Extracted
white_onion,commonName,Oignon blanc,Extracted
white_onion,description,...,Extracted
red_onion,commonName,Oignon rouge,Extracted
red_onion,description,...,Extracted
watermelon,commonName,Pastèque,Extracted
watermelon,description,...,Extracted
courge_patisson,commonName,Courge pâtisson,Extracted
courge_patisson,description,...,Extracted
petit_pois,commonName,Petit pois,Extracted
petit_pois,description,...,Extracted
red_chili,commonName,Piment rouge,Extracted
red_chili,description,...,Extracted
split_pea,commonName,Pois cassé,Extracted
split_pea,description,...,Extracted
chickpea,commonName,Pois chiche,Extracted
chickpea,description,...,Extracted
poivron_vert,commonName,Poivron vert,Extracted
poivron_vert,description,...,Extracted
radis,commonName,Radis de 18 jours,Extracted
radis,description,...,Extracted
radis_daikon,commonName,Radis Daikon,Extracted
radis_daikon,description,...,Extracted
radis_violet_hiver,commonName,Radis violet d'hiver,Extracted
radis_violet_hiver,description,...,Extracted
watermelon_radish,commonName,Radis Watermelon,Extracted
watermelon_radish,description,...,Extracted
cherry_tomato,commonName,Tomate cerise rouge,Extracted
cherry_tomato,description,...,Extracted
tomato_coeur_de_boeuf,commonName,Tomate Cœur de Bœuf,Extracted
tomato_coeur_de_boeuf,description,...,Extracted
