"file","line","match"
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","75","unifiedGardenContextProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","197","invalidateGardenCacheProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","205","unifiedGardenContextProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","206","gardenActivePlantsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","207","gardenHistoricalPlantsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","208","gardenStatsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\garden_aggregation_providers.dart","209","gardenActivitiesProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\thermal_theme_provider.dart","63","thermalThemeProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\thermal_theme_provider.dart","72","thermalThemeProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\thermal_theme_provider.dart","82","thermalThemeProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\thermal_theme_provider.dart","92","thermalThemeProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\providers\thermal_theme_provider.dart","102","thermalThemeProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\services\intelligence_auto_notifier.dart","61","intelligenceStateProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\services\intelligence_auto_notifier.dart","72","intelligenceStateProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\utils\calibration_migration.dart","319","_sharedPreferencesProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\widgets\thermal_overlay_widget.dart","71","currentThermalColorSchemeProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\widgets\thermal_overlay_widget.dart","72","currentOverlayColorProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\widgets\thermal_overlay_widget.dart","104","currentGlowColorProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\widgets\thermal_overlay_widget.dart","132","currentGlowColorProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\widgets\thermal_overlay_widget.dart","155","currentPaletteNameProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\core\widgets\thermal_overlay_widget.dart","156","currentThermalIntensityProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\daily_update_provider.dart","32","soilTempProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\daily_update_provider.dart","87","soilTempProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\daily_update_provider.dart","124","soilTempProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\soil_ph_provider.dart","236","soilPHProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\soil_ph_provider.dart","242","soilPHProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\soil_temp_provider.dart","234","soilTempProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\soil_temp_provider.dart","240","soilTempProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\weather_alert_provider.dart","77","weatherAlertsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\weather_alert_provider.dart","95","weatherAlertsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\weather_alert_provider.dart","109","weatherAlertsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\weather_alert_provider.dart","122","weatherAlertsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\providers\weather_alert_provider.dart","138","weatherAlertsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\screens\alerts_detail_screen.dart","14","weatherAlertsProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\screens\ph_input_sheet.dart","254","soilPHProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\climate\presentation\screens\soil_temp_sheet.dart","225","soilTempProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\garden\widgets\garden_card_with_real_area.dart","41","gardenTotalAreaProvider("
"C:\Users\roman\Documents\apppklod\permacalendarv2\lib\features\garden_bed\providers\garden_bed_scoped_provider.dart","17","gardenBedProvider("
