File,Key,Action,Value Preview,ICU Warning
intl_en.arb,@appTitle,Added,"OrderedDict([('description', ""Titre de l'applicati",
intl_en.arb,@settings_title,Added,"OrderedDict([('description', 'Titre de la page des",
intl_en.arb,@home_settings_fallback_label,Added,"OrderedDict([('description', ""Label accessibilité ",
intl_en.arb,@settings_application,Added,"OrderedDict([('description', ""Rubrique 'Applicatio",
intl_en.arb,@settings_version,Added,"OrderedDict([('description', ""Label pour la versio",
intl_en.arb,@settings_display,Added,"OrderedDict([('description', 'Titre de la section ",
intl_en.arb,@settings_weather_selector,Added,"OrderedDict([('description', 'Titre de la section ",
intl_en.arb,@settings_commune_title,Added,"OrderedDict([('description', 'Titre du paramètre C",
intl_en.arb,@settings_choose_commune,Added,"OrderedDict([('description', 'Titre/drawer pour ch",
intl_en.arb,@settings_search_commune_hint,Added,"OrderedDict([('description', 'Hint text pour la re",
intl_en.arb,@settings_commune_default,Added,"OrderedDict([('description', 'Texte indiquant la c",
intl_en.arb,@settings_commune_selected,Added,"OrderedDict([('description', 'Texte indiquant la c",
intl_en.arb,@settings_quick_access,Added,"OrderedDict([('description', 'Titre de la zone Acc",
intl_en.arb,@settings_plants_catalog,Added,"OrderedDict([('description', ""Libellé pour l'accès",
intl_en.arb,@settings_plants_catalog_subtitle,Added,"OrderedDict([('description', 'Sous-titre pour le c",
intl_en.arb,@settings_about,Added,"OrderedDict([('description', 'Titre de la section ",
intl_en.arb,@settings_user_guide,Added,"OrderedDict([('description', ""Label pour le guide ",
intl_en.arb,@settings_user_guide_subtitle,Added,"OrderedDict([('description', ""Sous-titre pour le g",
intl_en.arb,@settings_privacy,Added,"OrderedDict([('description', 'Label Confidentialit",
intl_en.arb,@settings_privacy_policy,Added,"OrderedDict([('description', 'Titre / label de la ",
intl_en.arb,@settings_terms,Added,"OrderedDict([('description', ""Titre / label des co",
intl_en.arb,@settings_version_dialog_title,Added,"OrderedDict([('description', ""Titre de la boîte de",
intl_en.arb,@settings_version_dialog_content,Added,"OrderedDict([('description', 'Contenu de la boîte ",
intl_en.arb,@language_title,Added,"OrderedDict([('description', 'Titre de la page de ",
intl_en.arb,@language_french,Added,"OrderedDict([('description', 'Nom de la langue fra",
intl_en.arb,@language_english,Added,"OrderedDict([('description', 'Nom de la langue ang",
intl_en.arb,@language_spanish,Added,"OrderedDict([('description', 'Nom de la langue esp",
intl_en.arb,@language_portuguese_br,Added,"OrderedDict([('description', 'Nom de la langue por",
intl_en.arb,@language_german,Added,"OrderedDict([('description', 'Nom de la langue all",
intl_en.arb,@language_changed_snackbar,Added,"OrderedDict([('description', 'Message affiché en s",
intl_en.arb,@calibration_title,Added,"OrderedDict([('description', 'Titre de la section ",
intl_en.arb,@calibration_subtitle,Added,"OrderedDict([('description', 'Sous-titre de la sec",
intl_en.arb,@calibration_organic_title,Added,"OrderedDict([('description', 'Titre de la carte Ca",
intl_en.arb,@calibration_organic_subtitle,Added,"OrderedDict([('description', 'Sous-titre de la car",
intl_en.arb,@calibration_organic_disabled,Added,"OrderedDict([('description', 'SnackBar désactivati",
intl_en.arb,@calibration_organic_enabled,Added,"OrderedDict([('description', 'SnackBar activation ",
intl_en.arb,@garden_list_title,Added,"OrderedDict([('description', 'Titre écran liste de",
intl_en.arb,@garden_error_title,Added,"OrderedDict([('description', ""Titre pour l'état d'",
intl_en.arb,@garden_error_subtitle,Added,"OrderedDict([('description', ""Message d'erreur dét",
intl_en.arb,@garden_retry,Added,"OrderedDict([('description', 'Texte du bouton Rées",
intl_en.arb,@garden_no_gardens,Added,"OrderedDict([('description', 'Message affiché si a",
intl_en.arb,@garden_archived_info,Added,"OrderedDict([('description', 'Info affichée lorsqu",
intl_en.arb,@garden_add_tooltip,Added,"OrderedDict([('description', 'Tooltip du FAB pour ",
intl_en.arb,@plant_catalog_title,Added,"OrderedDict([('description', ""Titre de l'écran cat",
intl_en.arb,@plant_catalog_search_hint,Added,"OrderedDict([('description', 'Indication visuelle ",
intl_en.arb,@plant_custom_badge,Added,"OrderedDict([('description', 'Texte du badge pour ",
intl_en.arb,@plant_detail_not_found_title,Added,"OrderedDict([('description', ""Titre affiché si une",
intl_en.arb,@plant_detail_not_found_body,Added,"OrderedDict([('description', ""Message affiché lors",
intl_en.arb,@plant_added_favorites,Added,"OrderedDict([('description', ""SnackBar indiquant q",
intl_en.arb,@plant_detail_popup_add_to_garden,Added,"OrderedDict([('description', 'Texte du menu contex",
intl_en.arb,@plant_detail_popup_share,Added,"OrderedDict([('description', 'Texte du menu contex",
intl_en.arb,@plant_detail_share_todo,Added,"OrderedDict([('description', ""SnackBar indiquant q",
intl_en.arb,@plant_detail_add_to_garden_todo,Added,"OrderedDict([('description', ""SnackBar indiquant q",
intl_en.arb,@plant_detail_section_culture,Added,"OrderedDict([('description', 'Titre section Détail",
intl_en.arb,@plant_detail_section_instructions,Added,"OrderedDict([('description', 'Titre section Instru",
intl_en.arb,@plant_detail_detail_family,Added,"OrderedDict([('description', 'Label Famille dans l",
intl_en.arb,@plant_detail_detail_maturity,Added,"OrderedDict([('description', 'Label Durée de matur",
intl_en.arb,@plant_detail_detail_spacing,Added,"OrderedDict([('description', 'Label Espacement')])",
intl_en.arb,@plant_detail_detail_exposure,Added,"OrderedDict([('description', 'Label Exposition')])",
intl_en.arb,@plant_detail_detail_water,Added,"OrderedDict([('description', 'Label Besoins en eau",
intl_en.arb,@planting_title_template,Added,"OrderedDict([('description', ""Titre de l'écran des",
intl_en.arb,@planting_menu_statistics,Added,"OrderedDict([('description', 'Menu item Statistiqu",
intl_en.arb,@planting_menu_ready_for_harvest,Added,"OrderedDict([('description', 'Menu item Prêt à réc",
intl_en.arb,@planting_menu_test_data,Added,"OrderedDict([('description', 'Menu item Données te",
intl_en.arb,@planting_search_hint,Added,"OrderedDict([('description', 'Hint de recherche su",
intl_en.arb,@planting_filter_all_statuses,Added,"OrderedDict([('description', 'Filtre Tous les stat",
intl_en.arb,@planting_filter_all_plants,Added,"OrderedDict([('description', 'Filtre Toutes les pl",
intl_en.arb,@planting_stat_plantings,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_stat_total_quantity,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_stat_success_rate,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_stat_in_growth,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_stat_ready_for_harvest,Added,"OrderedDict([('description', 'Label statistiques :",
intl_en.arb,@planting_empty_none,Added,"OrderedDict([('description', ""Titre pour l'état vi",
intl_en.arb,@planting_empty_first,Added,"OrderedDict([('description', ""Texte incitatif si a",
intl_en.arb,@planting_create_action,Added,"OrderedDict([('description', 'Texte du bouton pour",
intl_en.arb,@planting_empty_no_result,Added,"OrderedDict([('description', ""Titre pour l'état 'a",
intl_en.arb,@planting_clear_filters,Added,"OrderedDict([('description', 'Action pour effacer ",
